Sample_ID,Depth,MS25,MS50,MS75,Weighted_EMF,SOC,Amino sugars,BG,NAG,MUP,Available N,Available P,NPP,NDVI,Pathogen_control,Bacteria_richness,Fungi_richness,Mycorrhizal,Endophyte,Saprotroph,Carbon sequestration,Organic matter decomposition,Nutrient cycling,Plant productivity,Pathogen control,Soil biodiversity,Aridity,Warming,Maximum temperature,Extreme events,Seasonality,Human_influence,Salinity,Distance from neutral pH
W1,A_Topsoil,7,4,1,0.379876914,0.115401987,0.101726117,0.165183764,0.081004195,0.273643231,0.099914105,0.178851095,0.164911586,0.322354059,0.924764233,0.693522907,0.685758514,0.266666667,1,0.594936709,0.108564052,0.173277064,0.1393826,0.243632823,0.924764233,0.68964071,81.72369578,63.5443708,36.6141732,26.36279345,61.03873546,66.44559836,10.2923964,30.64516133
W4,A_Topsoil,7,3,2,0.436165146,0.190831075,0.07286753,0.93234743,1,0.317945639,0.285197661,0.040277783,0.200561814,0.419055223,0.65062289,0.641706161,0.582043344,0.155555556,0.5,0.443037975,0.131849303,0.750097689,0.162737722,0.309808518,0.65062289,0.611874752,85.5841263,83.1164394,31.1023622,38.074219,63.00716837,40.7181005,13.6793479,33.06451614
W7,A_Topsoil,5,2,0,0.467551611,0.192411924,0.060343612,0.359892216,0.389798931,0.288629434,0.042848481,0.15037039,0.417013862,0.792215799,0.877750611,0.936492891,0.57120743,0.059259259,0.25,0.569620253,0.126377768,0.34610686,0.096609435,0.604614831,0.877750611,0.753850161,67.96247553,34.089596,45.6692913,16.40522555,44.79024153,62.57424467,11.7321097,17.33870975
W10,A_Topsoil,6,3,1,0.421249103,0,0.044488308,0.153510094,0.369551575,0.365197494,0,0,0.352778303,0.809963212,0.974362557,0.848657188,0.458204334,0.037037037,0,0.525316456,0.022244154,0.296086388,0,0.581370758,0.974362557,0.653430761,75.02193422,38.4449361,52.7559055,26.95287533,64.44407794,46.91486888,9.2359162,21.37096781
W13,A_Topsoil,7,3,1,0.453623419,0.185411021,0.035187013,0.559062156,0.271121477,0.354714966,0.067055861,0.032222226,0.279384619,0.678353412,0.866759809,1,0.642414861,0.081481481,1,0.613924051,0.110299017,0.3949662,0.049639043,0.478869016,0.866759809,0.82120743,76.56745628,37.6897232,50,35.15017798,72.76736976,45.76908209,10.8620672,27.41935484
W16,A_Topsoil,5,3,1,0.50163085,0.292231256,0.347447078,0.359211247,0.514971382,0.331922268,0.44436542,0.247037069,0.559757539,0.86153784,0.993922459,0.371563981,0.10371517,0.007407407,0,0.082278481,0.319839167,0.402034966,0.345701244,0.71064769,0.993922459,0.237639576,28.63602624,33.9179252,70.0787402,9.095170925,19.04642304,51.21975327,9.0080479,79.03225803
W22,A_Topsoil,3,2,0,0.422759726,0.13730804,0.122902777,0.094633868,0.131419397,0.124015619,0.350663118,0.005370371,0.661370592,0.97035697,1,0.436966825,0.154798762,0.044444444,0.25,0.139240506,0.130105409,0.116689628,0.178016744,0.815863781,1,0.295882793,6.364311248,21.473244,60.2362205,32.60840204,9.642449687,20.61754261,3.4252747,72.17741932
W25,A_Topsoil,5,2,0,0.369366211,0.20596206,0.017063788,0.13979923,0.10190083,0,0.181427433,0.131574091,0,0.598146427,0.870648504,0.836966825,0.558823529,0.014814815,0,0.518987342,0.111512924,0.080566686,0.156500762,0.299073213,0.870648504,0.697895177,31.36937298,37.8327976,66.9291339,6.708356846,11.16503768,59.9444335,13.8865009,47.1774194
W28,A_Topsoil,4,2,0,0.495226005,0.496386631,0.370903744,0.293030122,0.702336682,0.350263287,0.552888338,0.107407421,0.354629231,0.528834493,0.983164513,0.668246445,0,0,0,0,0.433645187,0.448543364,0.33014788,0.441731862,0.983164513,0.334123223,9.043666097,44.6768329,68.503937,14.04875092,7.224273379,41.8426617,21.3854392,57.25806449
W31,A_Topsoil,5,2,0,0.415305081,0.210704607,0.184201092,0.10479261,0.15200016,0.052192199,0.257380273,0.279259295,0.522402165,0.568230514,0.871719641,0.137440758,0.874613003,0.059259259,0,0.886075949,0.197452849,0.10299499,0.268319784,0.54531634,0.871719641,0.506026881,27.84639266,40.6413917,67.7165354,19.32950376,1.611446436,42.89101366,3.9845878,62.09677423
