"","Estimate","Std. Error","t value","Pr(>|t|)","lm","depth","stressor","nms_level"
"aridity_MS>25%_A_Topsoil.ALL",-0.132922534004522,0.0315055534104481,-4.21901917648718,0.000146665603366742,"aridity under General environment","A_Topsoil","aridity","MS>25%"
"aridity_MS>25%_A_Topsoil.HIGH",-0.520498832749466,0.182800686533374,-2.84735710034895,0.0191716595389118,"aridity under High MS>25%","A_Topsoil","aridity","MS>25%"
"aridity_MS>25%_A_Topsoil.LOW",-0.127113479653529,0.0378696030154111,-3.35660977491104,0.00235690517920036,"aridity under Low MS>25%","A_Topsoil","aridity","MS>25%"
"aridity_MS>25%_B_Subsoil.ALL",-0.198960739445938,0.0491405152283322,-4.04881264515571,0.000229486515469936,"aridity under General environment","B_Subsoil","aridity","MS>25%"
"aridity_MS>25%_B_Subsoil.HIGH",-0.430577921351245,0.309207386725608,-1.39252145917633,0.189029644927288,"aridity under High MS>25%","B_Subsoil","aridity","MS>25%"
"aridity_MS>25%_B_Subsoil.LOW",-0.188909012629561,0.062223667758335,-3.03596717190069,0.00539238300014944,"aridity under Low MS>25%","B_Subsoil","aridity","MS>25%"
"aridity_MS>25%_C_Deepsoil.ALL",-0.177104342617016,0.0536471250081189,-3.30128301544982,0.00226826881005076,"aridity under General environment","C_Deepsoil","aridity","MS>25%"
"aridity_MS>25%_C_Deepsoil.HIGH",-0.552799351189952,0.250811365678117,-2.20404426129315,0.0520832837917938,"aridity under High MS>25%","C_Deepsoil","aridity","MS>25%"
"aridity_MS>25%_C_Deepsoil.LOW",-0.147457173461247,0.0702310446393731,-2.09960102713009,0.0474562120727427,"aridity under Low MS>25%","C_Deepsoil","aridity","MS>25%"
"aridity_MS>50%_A_Topsoil.ALL",-0.132922534004522,0.0315055534104481,-4.21901917648718,0.000146665603366742,"aridity under General environment","A_Topsoil","aridity","MS>50%"
"aridity_MS>50%_A_Topsoil.HIGH",-0.395912844791446,0.120668439951052,-3.28099745842447,0.00732079787416275,"aridity under High MS>50%","A_Topsoil","aridity","MS>50%"
"aridity_MS>50%_A_Topsoil.LOW",-0.0711568406202482,0.0428547189276571,-1.66042019177323,0.109322752664561,"aridity under Low MS>50%","A_Topsoil","aridity","MS>50%"
"aridity_MS>50%_B_Subsoil.ALL",-0.198960739445938,0.0491405152283322,-4.04881264515571,0.000229486515469936,"aridity under General environment","B_Subsoil","aridity","MS>50%"
"aridity_MS>50%_B_Subsoil.HIGH",-0.340260325668047,0.234810141164944,-1.44908701123359,0.169341350703953,"aridity under High MS>50%","B_Subsoil","aridity","MS>50%"
"aridity_MS>50%_B_Subsoil.LOW",-0.0956124665201379,0.0666903704901162,-1.43367724331818,0.164565082819765,"aridity under Low MS>50%","B_Subsoil","aridity","MS>50%"
"aridity_MS>50%_C_Deepsoil.ALL",-0.177104342617016,0.0536471250081189,-3.30128301544982,0.00226826881005076,"aridity under General environment","C_Deepsoil","aridity","MS>50%"
"aridity_MS>50%_C_Deepsoil.HIGH",-0.262464028647883,0.110839612238809,-2.36796234979957,0.0317488396657874,"aridity under High MS>50%","C_Deepsoil","aridity","MS>50%"
"aridity_MS>50%_C_Deepsoil.LOW",-0.0696948343450717,0.106740135198178,-0.65293934859342,0.522528330635773,"aridity under Low MS>50%","C_Deepsoil","aridity","MS>50%"
"aridity_MS>75%_A_Topsoil.ALL",-0.132922534004522,0.0315055534104481,-4.21901917648718,0.000146665603366742,"aridity under General environment","A_Topsoil","aridity","MS>75%"
"aridity_MS>75%_A_Topsoil.HIGH",-0.453105414283721,0.154863560846997,-2.92583621224739,0.0191196341137268,"aridity under High MS>75%","A_Topsoil","aridity","MS>75%"
